ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
FMNA CN Equity,3581269.884,5315898.075,6354558.105,6083480.186,5398145.905,5605008.068,6095880.175,4579199.982,5101676.006,4484640.121,3647111.988,3446560.073,2706445.079,2484480.057,1290003.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAM CN Equity,131761282.3,2306003.036,2369207.106,2380316.057,2158799.944,2033139.992,1935700.922,1239311.943,1138038.044,1148707.952,1142669.039,1073341.455,1061350.493,1070065.513,1063671.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCA CN Equity,46056975.57,135873405.3,137618673.8,131563277.6,99866187.06,98130960.85,78737232.48,74683496.65,67183728.35,64227515.98,42468811.34,34417663.88,31638709.16,31815498.01,24442773.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCIN CN Equity,115215799.6,43697213.4,43539120.48,42777600.55,36222031.44,37747184.39,36267576.35,35519899.06,32816129.34,27634887.47,13599050.59,11145540.48,10298673.42,9441030.703,1023610.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMAX CN Equity,122072465.6,104770617.2,92782347.94,75320928.04,66981662.18,65887422.75,65376536.08,66142854.21,57543168.95,56658769.2,40652011.47,39981839.22,30923806.51,28703566.9,14903567.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMAX CN Equity,106664667.7,123546883.8,123525741.6,118326358.9,100819676,94989295.64,79606017.87,72337839.33,70339335.39,66828549.75,57571927.2,55274398.37,52764534.82,50619882.2,41146499.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAX CN Equity,212527469.8,113059150.8,117047308.2,111898392.4,99247194.55,124208958.4,113877040.6,116542067.5,119273788,120184210.3,125412322.8,124653982,120183126.5,121727118.7,117107251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMAX CN Equity,180094525.7,193899617,156554784.7,141934295.4,124564493.5,142511255,143158267.2,129516165.1,119568539.6,122379156.1,107409504.6,107558639.9,98093049.64,88205943.04,74412583.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOND/U CN Equity,31965313.41,201849534.4,193131690.5,180550434.6,163057810.2,154922358.3,142050004.2,129321134.9,122672732.9,121366995.2,115553941.2,110845657.5,109712894.3,107496662.7,94769248.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOND/B CN Equity,42955403.85,43521252.67,40739275.96,44100595.88,47665435.08,48019494.51,51525663.01,55951456.37,54639799.89,55640331.32,50830414.15,44985782.59,37131999.81,39048087.93,26824397.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWLV CN Equity,249346944.7,47654362.54,32309748.94,30909156.13,30180750.85,30276145.36,39099908.83,37668694.73,36098213.05,27768261.15,22636239.62,19402230.83,18803030.44,13890565.01,2140119.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCSH CN Equity,365996956.3,246644631.6,231627156.7,218128504.4,199535860.5,202930510.6,194374509.9,203116330.8,79652052.55,74465005.11,48461625.62,44992541.31,41936820.22,29187255.48,5058663.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGLR CN Equity,1386007.214,312252462.2,278135551.3,250245666.5,244176272.3,221038628.5,182135661.3,204109259,183057103.7,161024750.9,167096552,163041996.1,68038147.28,37017659.91,5011819.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATRB CN Equity,1242976.57,1446899.128,1443422.89,1418123.817,1372689.342,1416900.73,1382794.094,1379347.324,1371760.082,1375869.37,1332453.06,1350871.944,1337494.564,1323051.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMD CN Equity,7189796.448,1250014.019,1267776.585,1262695.217,1256090.26,1271820.831,1261981.583,1283635.998,1271405.983,1271439.075,1250291.729,1251353.359,1241685.104,1259669.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGLD CN Equity,806712789.5,8256789.207,21273011.32,21423189.13,12346577.53,10889718.51,1536546.326,1495136.07,1406808.472,1641916.466,1379988.289,1389696.98,1338980.865,1357983.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGLD/U CN Equity,21267494.08,804165505.9,725237881.1,726394902.3,660239555.3,632635716.3,640719849.2,591089867.4,558609241.6,15871082.67,12363712.93,9653522.178,8212548.867,6466450.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
